id,user_id,date,amount,type,from_wallet_id,to_wallet_id,subscription_id,description,vat_amount,created_at
715ad327-c255-4ee4-8e1e-cdceea9cdd131,5e189da8-2f10-43a6-bb19-be0b05f098ba,14-09-25 0:00,15000,INTERNAL_TRANSFER,475ebdf9-5c4d-43a3-b20d-4e1491da0247,cea05e1d-6207-4611-8676-13454b2eb746,,Internal Transfer,,2025-12-29 07:43:41.487633+00
715ad327-c255-4ee4-8e1e-cdceea9cdd132,5e189da8-2f10-43a6-bb19-be0b05f098ba,24-09-25 0:00,550,INTERNAL_TRANSFER,475ebdf9-5c4d-43a3-b20d-4e1491da0247,cea05e1d-6207-4611-8676-13454b2eb746,,Internal Transfer,,2025-12-29 07:43:41.487633+00
715ad327-c255-4ee4-8e1e-cdceea9cdd133,5e189da8-2f10-43a6-bb19-be0b05f098ba,28-09-25 0:00,1000,INTERNAL_TRANSFER,475ebdf9-5c4d-43a3-b20d-4e1491da0247,cea05e1d-6207-4611-8676-13454b2eb746,,Internal Transfer,,2025-12-29 07:43:41.487633+00
715ad327-c255-4ee4-8e1e-cdceea9cdd134,5e189da8-2f10-43a6-bb19-be0b05f098ba,45929,1000,INTERNAL_TRANSFER,475ebdf9-5c4d-43a3-b20d-4e1491da0247,cea05e1d-6207-4611-8676-13454b2eb746,,Internal Transfer,,2025-12-29 07:43:41.487633+00
715ad327-c255-4ee4-8e1e-cdceea9cdd135,5e189da8-2f10-43a6-bb19-be0b05f098ba,45930,12000,INTERNAL_TRANSFER,475ebdf9-5c4d-43a3-b20d-4e1491da0247,cea05e1d-6207-4611-8676-13454b2eb746,,Internal Transfer,,2025-12-29 07:43:41.487633+00
715ad327-c255-4ee4-8e1e-cdceea9cdd136,5e189da8-2f10-43a6-bb19-be0b05f098ba,45935,1000,INTERNAL_TRANSFER,475ebdf9-5c4d-43a3-b20d-4e1491da0247,cea05e1d-6207-4611-8676-13454b2eb746,,Internal Transfer,,2025-12-29 07:43:41.487633+00
715ad327-c255-4ee4-8e1e-cdceea9cdd137,5e189da8-2f10-43a6-bb19-be0b05f098ba,45939,13000,INTERNAL_TRANSFER,475ebdf9-5c4d-43a3-b20d-4e1491da0247,cea05e1d-6207-4611-8676-13454b2eb746,,Internal Transfer,,2025-12-29 07:43:41.487633+00
715ad327-c255-4ee4-8e1e-cdceea9cdd138,5e189da8-2f10-43a6-bb19-be0b05f098ba,45945,1000,INTERNAL_TRANSFER,475ebdf9-5c4d-43a3-b20d-4e1491da0247,cea05e1d-6207-4611-8676-13454b2eb746,,Internal Transfer,,2025-12-29 07:43:41.487633+00
715ad327-c255-4ee4-8e1e-cdceea9cdd139,5e189da8-2f10-43a6-bb19-be0b05f098ba,45959,12000,INTERNAL_TRANSFER,475ebdf9-5c4d-43a3-b20d-4e1491da0247,cea05e1d-6207-4611-8676-13454b2eb746,,Internal Transfer,,2025-12-29 07:43:41.487633+00
715ad327-c255-4ee4-8e1e-cdceea9cdd140,5e189da8-2f10-43a6-bb19-be0b05f098ba,45970,14000,INTERNAL_TRANSFER,475ebdf9-5c4d-43a3-b20d-4e1491da0247,cea05e1d-6207-4611-8676-13454b2eb746,,Internal Transfer,,2025-12-29 07:43:41.487633+00
715ad327-c255-4ee4-8e1e-cdceea9cdd141,5e189da8-2f10-43a6-bb19-be0b05f098ba,45985,500,INTERNAL_TRANSFER,475ebdf9-5c4d-43a3-b20d-4e1491da0247,cea05e1d-6207-4611-8676-13454b2eb746,,Internal Transfer,,2025-12-29 07:43:41.487633+00
715ad327-c255-4ee4-8e1e-cdceea9cdd142,5e189da8-2f10-43a6-bb19-be0b05f098ba,45987,3519,INTERNAL_TRANSFER,475ebdf9-5c4d-43a3-b20d-4e1491da0247,cea05e1d-6207-4611-8676-13454b2eb746,,Internal Transfer,,2025-12-29 07:43:41.487633+00
715ad327-c255-4ee4-8e1e-cdceea9cdd143,5e189da8-2f10-43a6-bb19-be0b05f098ba,45990,12000,INTERNAL_TRANSFER,475ebdf9-5c4d-43a3-b20d-4e1491da0247,cea05e1d-6207-4611-8676-13454b2eb746,,Internal Transfer,,2025-12-29 07:43:41.487633+00
715ad327-c255-4ee4-8e1e-cdceea9cdd144,5e189da8-2f10-43a6-bb19-be0b05f098ba,45991,1500,INTERNAL_TRANSFER,475ebdf9-5c4d-43a3-b20d-4e1491da0247,cea05e1d-6207-4611-8676-13454b2eb746,,Internal Transfer,,2025-12-29 07:43:41.487633+00
715ad327-c255-4ee4-8e1e-cdceea9cdd145,5e189da8-2f10-43a6-bb19-be0b05f098ba,45992,400,INTERNAL_TRANSFER,475ebdf9-5c4d-43a3-b20d-4e1491da0247,cea05e1d-6207-4611-8676-13454b2eb746,,Internal Transfer,,2025-12-29 07:43:41.487633+00
715ad327-c255-4ee4-8e1e-cdceea9cdd146,5e189da8-2f10-43a6-bb19-be0b05f098ba,45993,1000,INTERNAL_TRANSFER,475ebdf9-5c4d-43a3-b20d-4e1491da0247,cea05e1d-6207-4611-8676-13454b2eb746,,Internal Transfer,,2025-12-29 07:43:41.487633+00
715ad327-c255-4ee4-8e1e-cdceea9cdd147,5e189da8-2f10-43a6-bb19-be0b05f098ba,45994,1000,INTERNAL_TRANSFER,475ebdf9-5c4d-43a3-b20d-4e1491da0247,cea05e1d-6207-4611-8676-13454b2eb746,,Internal Transfer,,2025-12-29 07:43:41.487633+00
715ad327-c255-4ee4-8e1e-cdceea9cdd148,5e189da8-2f10-43a6-bb19-be0b05f098ba,46000,14000,INTERNAL_TRANSFER,475ebdf9-5c4d-43a3-b20d-4e1491da0247,cea05e1d-6207-4611-8676-13454b2eb746,,Internal Transfer,,2025-12-29 07:43:41.487633+00
715ad327-c255-4ee4-8e1e-cdceea9cdd149,5e189da8-2f10-43a6-bb19-be0b05f098ba,46018,12000,INTERNAL_TRANSFER,475ebdf9-5c4d-43a3-b20d-4e1491da0247,cea05e1d-6207-4611-8676-13454b2eb746,,Internal Transfer,,2025-12-29 07:43:41.487633+00
